Evaluation_Method,Window_Size_seconds,Stride,Stride_Numeric,Binary_F1_Score,Binary_Accuracy,Binary_Precision,Binary_Recall,Multiclass_F1_Score,Multiclass_Accuracy,Word_Level_F1_Score,IoU_F1_Score,Mean_IoU_Percentage
window,0.7,80.0%,0.8,0.1056,0.2354,0.0562,0.8643,0.3943,0.4785,,,
word,0.7,80.0%,0.8,0.1056,0.2354,0.0562,0.8643,,,0.0911,,
iou,0.7,40.0%,0.4,0.1048,0.2321,0.0559,0.8479,,,0.0871,0.0431,37.23
iou_word_sep,0.7,40.0%,0.4,0.1048,0.2321,0.0559,0.8479,,,0.0871,0.0443,
window,0.7,40.0%,0.4,0.1048,0.2321,0.0559,0.8479,0.4121,0.4975,,,
word,0.7,40.0%,0.4,0.1048,0.2321,0.0559,0.8479,,,0.0871,,
iou,0.7,0.5,0.5,0.1044,0.2382,0.0556,0.848,,,0.0933,0.0513,34.09
iou_word_sep,0.7,0.5,0.5,0.1044,0.2382,0.0556,0.848,,,0.0933,0.0525,
window,0.7,0.5,0.5,0.1044,0.2382,0.0556,0.848,0.4201,0.4966,,,
word,0.7,0.5,0.5,0.1044,0.2382,0.0556,0.848,,,0.0933,,
iou,0.7,0.4,0.4,0.1033,0.2326,0.055,0.8493,,,0.0864,0.0434,33.67
iou_word_sep,0.7,0.4,0.4,0.1033,0.2326,0.055,0.8493,,,0.0864,0.0434,
window,0.7,0.4,0.4,0.1033,0.2326,0.055,0.8493,0.4025,0.4954,,,
word,0.7,0.4,0.4,0.1033,0.2326,0.055,0.8493,,,0.0864,,
iou,0.7,0.35,0.35,0.1026,0.2372,0.0546,0.8425,,,0.0875,0.0517,38.14
iou,0.7,50.0%,0.5,0.1026,0.2372,0.0546,0.8425,,,0.0875,0.0517,38.14
iou_word_sep,0.7,0.35,0.35,0.1026,0.2372,0.0546,0.8425,,,0.0875,0.0513,
iou_word_sep,0.7,50.0%,0.5,0.1026,0.2372,0.0546,0.8425,,,0.0875,0.0513,
window,0.7,0.35,0.35,0.1026,0.2372,0.0546,0.8425,0.4505,0.5262,,,
window,0.7,50.0%,0.5,0.1026,0.2372,0.0546,0.8425,0.4505,0.5262,,,
word,0.7,0.35,0.35,0.1026,0.2372,0.0546,0.8425,,,0.0875,,
